"id","word","part_of_speech","def","example_sentence1","example_translation1","DetailedDefinition"
240,"instant","a.","立即的","Helen loves eating instant noodles.","海倫愛吃泡麵。",""
241,"be predisposed to ","","傾向","Gullible people are predisposed to believe everything they're told.","好騙的人傾向相信他們聽到的所有事情。",""
242,"sophisticated","a.","精密的","Smartphones are sophisticated machines.","智慧型手機是精密的機器。",""
243,"substantially","adv.","相當","Vic's personality is substantially different from that of his twin brother.","維克的個性跟他的雙胞胎弟弟大不相同。",""
244,"extent","n.","範圍；程度","The full extent of the damage caused by global warming may not be known for some time.","全球暖化造成破壞的程度可能在一段時間內還不得而知。",""
245,"derive from","","源自","Modern English derives from many languages, including French and German.","現代英文源自多國語言，包括法文與德文。",""
246,"attainable","a.","可達到的","I think our goal is attainable.","我覺得我們的目標可以達成。",""
247,"compact","a.","小巧的","The reviews praised the car's compact design.","這些評論讚賞這台車小巧的設計。",""
248,"reverse","a.","相反的","Discussing the problem with George will not help; it will have the reverse effect.","和喬治討論問題並沒有幫助，只會有反效果。",""
249,"abide by","","遵守","We should all abide by the law.","我們都該守法。",""
250,"component","n.","成分；零件","Honesty is the key component in the success of our business.","我們這一行最重要的成功要素就是誠實。",""
251,"extremist","n.","極端分子","The country has long suffered terrorist attacks by right-wing extremists.","這國家長久以來都受到右派極端分子的恐怖攻擊所苦。",""
252,"adverse","a.","負面的","The city's new parking rules had adverse effects.","市政府的新停車規定得到反效果。",""
253,"virtually","adv.","幾乎；實質上","The huge company controls virtually the whole of the country's petrol supply.","這家超大企業實質上控制了全國的汽油供應。",""
254,"scarcity","n.","缺乏","The scarcity of the fresh water is the village's biggest problem.","缺乏淡水是這個小村最大的問題。",""
255,"alleviate","vt.","緩解","Ed took a painkiller to alleviate his pain.","艾德吞了一顆止痛藥來緩解疼痛。",""
256,"detect","vt.","察覺；偵測","Sarah detected sarcasm in Tara's voice.","莎拉感覺塔拉的聲音裡有譏諷的意味。",""
257,"account for","","佔比例","Factory workers account for 60% of the voters in this region.","工廠工人佔此地選民的六成。",""
258,"hue","n.","色調","There are different hues of green for you to choose from on the screen.","螢幕上有多種不同的綠色色調供你選擇。",""
259,"divert","vt.","轉向","We were diverted through the side streets due to the construction ahead.","由於前方施工，我們被改道到小巷去。",""
260,"strive for","","為…奮鬥","Many women in the early 20th century were striving for their right to vote.","二十世紀初有許多女性正在為了投票權而奮鬥。",""
261,"clog","vt.","堵塞","The drain was clogged with grease and hair.","排水管塞滿油膩與頭髮。",""
262,"cylindrical","a.","圓柱體的","The tea leaves are packed in a cylindrical container.","茶葉裝在圓柱形的容器裡。",""
263,"hammer","n.","槌子","Gary used a hammer to drive the nail into the dry wall.","蓋瑞用槌子將釘子釘入石膏板牆。",""
264,"escort","vt.","護送；押送","I will escort you to the airport.","我將護送你去機場。",""
265,"eligible","a.","夠資格的","You're not eligible to take a driving test because you're too young.","你年紀太小，還沒資格考駕照。",""
266,"a fraction of ","","極小一部分","What the billionaire donated was just a fraction of his fortune.","這位億萬富翁的捐款只是他財產的九牛一毛而已。",""
267,"compensate … for …","","為…補償…","Ted took his girlfriend to a fancy restaurant to compensate her for standing her up last night.","泰德帶他的女友去一家高級餐廳吃飯，以補償昨晚放她鴿子。",""
268,"eclipse","vt.","使失色","For most of Jake's professional tennis career, his achievements were eclipsed by those of his arch-rival, Roger.","傑克大半個職業網球生涯的成就，都籠罩在死敵羅傑的陰影之下。",""
269,"maintenance","n.","維護；保養","Alex is responsible for the operation and maintenance of his machine.","艾力克斯負責操作與保養這台機器。",""
270,"suspect","vt.","懷疑","Mum suspected that Joe ate the last piece of cake.","媽懷疑是喬吃掉了最後一塊蛋糕。",""
271,"intellectual","a.","智慧的","Protection of intelllectual property is a mordern concept.","保護智慧財產權是蠻現代的觀念。",""
272,"diversity","n.","多樣性","The word biodiversity means ""biological diversity"".","biodiversity這個字代表「生物多樣性」。",""
273,"defect","n.","缺點","The main defect of this oven is that it heats up too slowly.","這個烤箱的主要缺點是就是加熱太慢。",""
274,"be afflicted by …","","為…所苦","The village has been afflicted by seasonal floods for many years.","這村落為多年來的季節性水災所苦。",""
275,"displace","vt.","取代","Social media has largely displaced face-to-face interaction with people.","社交媒體相當程度地取代了人們的面對面接觸。",""
276,"of one's own volition","","出於自願","Fred joined the army of his own volition.","弗雷德自願從軍。",""
277,"offset","vt.","抵銷","The pay rises have been offset by inflation over the past few years.","過去幾年的加薪都被通膨抵銷了。",""
278,"given…","prep.","在…的情況下","Given the economic uncertainty, investment in the private sector is surprisingly robust.","在經濟前景不明的情況下，民間部門的投資卻意外地蓬勃發展。",""
279,"magnitude","n.","規模","The magnitude of the new development project was beyond anyone's expectations.","這個新開發計畫的規模遠遠超乎任何人的想像。",""
280,"decline","vi.","下降；衰退","The DVD industry declined after streaming became popular.","在串流開始風行之後，DVD產業就衰退了。",""
281,"provided that","conj.","在...條件下","The event will be held outdoors provided that the weather is good.","只要天氣好，活動將在戶外舉行。",""
282,"profession","n.","職業","Teaching is a rewarding profession.","教學是一項有意義的職業。",""
283,"exceptional","adj.","傑出的","She is an exceptional student with high grades.","她是一位成績優異的傑出學生。",""
284,"stainless","adj.","不鏽的","We bought a set of stainless steel cutlery.","我們買了一套不鏽鋼餐具。",""
285,"aluminium","n.","鋁","This can is made of aluminium.","這個罐子是鋁製的。",""
286,"present","vt.","展示，呈現","The speaker presented his research findings to the audience.","演講者向聽眾展示了他的研究成果。",""
287,"tabernacle","n.","聖所","In the Bible, the tabernacle was a portable sanctuary.","在聖經中，會幕是一個可移動的聖所。","(in biblical use) a fixed or movable habitation, typically of light construction."
288,"choir","n.","合唱團","The church choir sang beautifully during the service.","教堂合唱團在禮拜儀式中演唱得非常優美。",""
289,"award","n./vt.","獎勵/給予","She received an award for her outstanding achievements. / The school awarded her a scholarship.","她因其傑出成就而獲獎。 / 學校授予她獎學金。",""
290,"would like to","aux. ph.","想要","I would like to order a cup of coffee.","我想要點一杯咖啡。",""
291,"platinum","n./adj.","白金","She wears a platinum ring. / This album has reached platinum status.","她戴著一枚白金戒指。 / 這張專輯已達到白金銷量。",""
292,"secretary","n.","秘書","The secretary handles all the administrative tasks for the department.","秘書負責處理部門所有的行政事務。",""
293,"pace","n./vi.","速度/踱步","The runner increased his pace in the final lap. / The speaker paced nervously.","賽跑選手在最後一圈加快了速度。 / 演講者緊張地踱步。",""
294,"revenue","n.","收入","The company's revenue increased significantly this year.","公司今年的收益顯著增加。",""
295,"soar","vi.","猛增，高飛","The price of oil began to soar.","石油價格開始飆升。",""
296,"apprehend","vt.","逮捕","The police apprehended the suspect near the scene.","警方在現場附近逮捕了嫌疑犯。",""
297,"revise","vt.","修訂","Please revise your essay before submitting it.","請在提交論文之前修改一下。",""
298,"application","n.","申請","She submitted her job application online.","她在網上提交了求職申請。",""
299,"in place of","prep. ph.","代替","We will have a substitute teacher in place of Mr. Smith today.","今天將由一位代課老師代替史密斯先生。",""
300,"owing to","prep. ph.","由於","The outdoor concert was cancelled owing to the heavy rain.","由於大雨，戶外音樂會被取消了。",""
301,"festival","n.","節日","We are going to attend the Lantern Festival next week.","我們下週將參加元宵節。",""
302,"conduct","vt./n.","進行/行為","The scientist will conduct an experiment. / His conduct at the party was inappropriate.","科學家將進行一項實驗。 / 他在派對上的行為不恰當。",""
303,"transportation","n.","運輸","Public transportation in this city is very convenient.","這個城市的公共運輸非常便利。",""
304,"agent","n.","代理人","We booked our flight through a travel agent.","我們透過旅行社預訂了機票。",""
305,"malware","n.","惡意軟體","Be careful not to download files that might contain malware.","小心不要下載可能包含惡意軟體的檔案。",""
306,"coordinate","vt.","準備/組織","The project manager will coordinate the efforts of the team members. / We need to coordinate our schedules for the meeting.","專案經理將協調團隊成員的工作。 / 我們需要協調彼此的行程以安排會議。",""
307,"anticipate","vt.","預期","We anticipate a large turnout for the event.","我們預期這次活動會有很多人參加。",""
308,"applicant","n.","申請人","The company will interview each applicant.","公司將面試每一位申請人。",""
309,"strategic","adj.","戰略性的","The company developed a strategic plan for long-term growth.","公司制定了一項長期發展的戰略計畫。",""
310,"consistent","adj.","持續的/一致的","His work has been of consistent high quality. / The results are consistent with our findings.","他的工作一直保持著很高的品質。 / 這些結果與我們的發現一致。",""
311,"the same ... as","phr.","和...一樣","Her dress is the same color as mine.","她的洋裝和我的是一樣的顏色。",""
312,"colleague","n.","同事","I often have lunch with my colleagues.","我經常和我的同事一起吃午餐。",""
313,"contingency","n.","意外事故/應急措施","We have a contingency plan in case of a power outage. / A contingency fund was set aside for unexpected expenses.","我們有一個應急計畫以應對停電的情況。 / 我們設立了應急基金以應對意外開支。",""
314,"personnel","n.","員工/人事","The company has a large number of personnel. / The personnel department handles hiring.","公司有大量的員工。 / 人事部門負責招聘。",""
315,"provision","n.","提供/條款","The government made provision for the homeless. / The contract includes a provision for early termination.","政府為無家可歸的人提供了幫助。 / 合約包含提前終止的條款。",""
316,"as if","conj.","彷彿/好像","He acted as if nothing had happened.","他表現得好像什麼事都沒發生一樣。",""
317,"raft","n./vi.","筏/乘筏子","They used a raft to cross the river. / They will raft down the river.","他們用筏子渡河。 / 他們將乘筏子沿河漂流。",""
318,"upon + (Ving)","prep. phr.","一...就","Upon hearing the news, she burst into tears.","一聽到這個消息，她就哭了出來。",""
319,"as of","prep.","從...開始","As of next Monday, the new policy will take effect.","從下週一開始，新政策將生效。",""
320,"commuter","n.","通勤者","Many commuters take the train to work.","許多通勤者搭火車上班。",""
321,"a selection of","phr.","各式各樣的","The store offers a wide selection of books.","這間商店提供各式各樣的書籍。",""
322,"press conference","n.","記者會","The CEO will hold a press conference tomorrow.","CEO 明天將舉行記者會。",""
323,"catch up","v.","趕上","I need to catch up on the latest news.","我需要趕上最新的新聞。",""
324,"expressway","n.","高速公路","Driving on the expressway can save a lot of time.","開車走高速公路可以節省很多時間。",""
325,"mutual","adj.","共同的/相互的","They have a mutual friend. / Theirs is a relationship built on mutual trust.","他們有一個共同的朋友。 / 他們的關係建立在相互信任的基礎上。",""
326,"forge","vt.","鍛造/建立","The blacksmith can forge tools from metal. / They worked together to forge a strong alliance.","鐵匠可以用金屬鍛造工具。 / 他們共同努力建立了強大的聯盟。",""
327,"professional","adj./n.","專業的/專業人士","She gave a professional presentation. / We need to consult a legal professional.","她做了一個專業的簡報。 / 我們需要諮詢一位法律專業人士。",""
328,"firm","n.","公司/事務所","He works for a well-known law firm. / She started her own accounting firm.","他在一間知名的律師事務所工作。 / 她創辦了自己的會計師事務所。",""
329,"portfolio","n.","作品集/投資組合","The artist presented his portfolio to the gallery owner. / She manages a diverse investment portfolio.","這位藝術家向畫廊老闆展示了他的作品集。 / 她管理著多元化的投資組合。",""
330,"intention","n.","意圖/目的","His intention was good. / What is your purpose in asking?","他的意圖是好的。 / 你問這個的目的是什麼？",""
331,"willingness","n.","意願/樂意","Her willingness to help was clear. / He showed a willingness to learn.","她樂於助人的意願很明顯。 / 他表現出學習的意願。",""
332,"loyal","adj.","忠誠的","He has been a loyal customer for many years.","他多年來一直是忠實的顧客。",""
333,"patronage","n.","支持/贊助/光顧","The restaurant relies on the patronage of local residents. / We appreciate your patronage.","這間餐廳依賴當地居民的支持。 / 我們感謝您的光顧。",""
334,"enclosed","adj.","圍繞的，封閉的","The garden was enclosed by a high wall.","花園被高牆圍繞著。",""
335,"broadly","adv.","廣泛地","The issue was broadly discussed in the meeting.","這個議題在會議中被廣泛地討論。",""
336,"badge","n.","徽章，識別證","Employees are required to wear their company badges.","員工必須佩戴公司徽章。",""
337,"advise of","phr. v.","通知...關於...","Please advise us of any changes to the schedule.","請告知我們任何日程上的變動。",""
338,"cooperation","n.","合作","The project requires close cooperation between different departments.","這個專案需要不同部門之間的密切合作。",""
339,"hardship","n.","艱難，困苦","Many families faced economic hardship during the recession.","許多家庭在經濟衰退期間面臨經濟困難。",""
340,"orchestra","n.","管弦樂團","The orchestra played a beautiful symphony.","管弦樂團演奏了一首優美的交響樂。",""
341,"seminar","n.","研討會","I attended a very informative marketing seminar.","我參加了一個非常有內容的行銷研討會。",""
342,"institute","n.","學院，研究所","The research institute is dedicated to finding a cure for cancer.","這間研究機構致力於尋找癌症的治療方法。",""
343,"opera","n.","歌劇","We went to see a famous opera last night.","我們昨晚去看了一場著名的歌劇。",""
344,"cast","n.","演員陣容","The cast of the play received rave reviews.","這齣戲的演員陣容獲得了極高的評價。",""
345,"crew","n.","工作人員","The film crew worked long hours to complete the movie.","電影工作人員長時間工作以完成這部電影。",""
346,"convention","n.","大會，習俗","Thousands of people attended the annual trade convention.","成千上萬的人參加了年度貿易大會。",""
347,"veteran","n.","資深人士，老兵","He is a veteran journalist with over 20 years of experience.","他是一位擁有超過 20 年經驗的資深記者。",""
348,"contact lens","n.","隱形眼鏡","She prefers wearing contact lenses to glasses.","她比較喜歡戴隱形眼鏡而不是眼鏡。",""
349,"disposable","adj.","拋棄式的","The hospital uses disposable gloves for hygiene.","這間醫院為了衛生起見使用拋棄式手套。",""
350,"opt","vi.","選擇","Many students opted to study abroad.","許多學生選擇出國留學。",""
351,"express","adj.","快速的","We took the express train to the city center.","我們搭乘快車前往市中心。",""
352,"renew","vt.","更新，續訂","I need to renew my driver's license soon.","我很快就需要更新我的駕駛執照了。",""
353,"draw","vt.","抽籤","They will draw lots to decide the winner.","他們將抽籤決定獲勝者。",""
354,"extend","vt.","延長，提供","The company decided to extend the deadline.","公司決定延長截止日期。",""
355,"charity","n.","慈善機構","She volunteers for a local charity.","她在一個當地的慈善機構擔任志工。",""
356,"banquet","n.","宴會","The company held a grand banquet to celebrate its anniversary.","公司舉辦了一場盛大的宴會來慶祝週年紀念。",""
357,"renowned","adj.","著名的","He is a renowned chef known for his innovative cuisine.","他是一位以創新料理聞名的著名廚師。",""
358,"executive","n.","高階主管","The company's executives met to discuss the new strategy.","公司的高階主管們開會討論新的策略。",""
359,"corporate","adj.","公司的","She works in the corporate headquarters.","她在公司總部工作。",""
360,"administrative","adj.","行政的，管理的","She has strong administrative skills.","她擁有很強的管理技能。",""
361,"aid","n.","幫助，援助","The organization provides financial aid to students.","這個組織向學生提供經濟援助。",""
362,"advanced","adj.","先進的","This is an advanced technology.","這是一項先進的技術。",""
363,"tactic","n.","策略，戰術","The team used a clever tactic to win the game.","這個團隊使用了一個巧妙的策略贏得了比賽。",""
364,"admission","n.","入場費/許可","The admission fee to the museum is ten dollars. / She gained admission to a prestigious university.","博物館的入場費是十美元。 / 她獲得了一所著名大學的入學許可。",""
365,"glitch","n.","小故障，小問題","There was a minor technical glitch during the presentation.","簡報過程中出現了一個小小的技術故障。",""
366,"warranty","n.","保固","The product comes with a one-year warranty.","這個產品提供一年的保固。",""
367,"savvy","adj.","精明的，有見識的","He is a savvy businessman with a keen understanding of the market.","他是一位精明的商人，對市場有敏銳的理解。",""
368,"ave","abbr.","大街 (Avenue 的縮寫)","The restaurant is located on Main Ave.","這間餐廳位於主要大街上。",""
369,"finalist","n.","決賽選手","She is a finalist in the singing competition.","她是歌唱比賽的決賽選手。",""
370,"costume","n.","服裝，戲服","The actors wore elaborate costumes for the play.","演員們在戲劇中穿著精心製作的服裝。",""
371,"palette","n.","調色盤，色彩範圍","The artist used a vibrant palette in her painting.","這位藝術家在她的畫作中使用了鮮豔的調色盤。",""
372,"certificate","n.","證書","She received a certificate for completing the course.","她因完成課程而獲得證書。",""
373,"embroidery","n.","刺繡","The dress had beautiful floral embroidery.","這件洋裝有精美的花卉刺繡。",""
374,"contestant","n.","參賽者","He is a contestant in the cooking show.","他是烹飪節目的參賽者。",""
375,"publicity","n.","宣傳，公眾關注","The event generated a lot of publicity.","這個活動引起了很多公眾關注。",""
376,"fame","n.","名聲","The actor achieved international fame.","這位演員獲得了國際聲譽。",""
377,"accomplishment","n.","成就","Winning the award was a significant accomplishment.","贏得這個獎項是一項重要的成就。",""
378,"veterinarian","n.","獸醫","We took our sick cat to the veterinarian.","我們帶生病的貓去看獸醫。",""
379,"clinical","adj.","臨床的","The hospital conducted a clinical trial for the new drug.","這間醫院為這種新藥進行了臨床試驗。",""
380,"tidy","adj.","整潔的","Her room is always clean and tidy.","她的房間總是乾淨整潔。",""
381,"medical","adj.","醫學的","She has a medical condition that requires regular treatment.","她有一種需要定期治療的疾病。",""
382,"surgery","n.","手術","He had to undergo surgery for his injury.","他因傷必須接受手術。",""
383,"zoology","n.","動物學","She is majoring in zoology at the university.","她在大學主修動物學。",""
384,"welfare","n.","福祉，福利","The government is concerned about the welfare of its citizens.","政府關心其公民的福祉。",""
385,"attire","n.","服裝","Formal attire is required for the gala.","晚會需要正式服裝。",""
386,"estate","n.","地產，遺產","He inherited a large estate from his grandparents.","他從祖父母那裡繼承了一大筆遺產。",""
387,"assist","vt.","幫助，協助","The nurse will assist the doctor during the procedure.","護士將在手術過程中協助醫生。",""
388,"commerce","n.","商業，貿易","The internet has greatly facilitated global commerce.","網路極大地促進了全球貿易。",""
389,"situate","vt.","使位於，使坐落於","The hotel is situated near the beach.","這間飯店位於海灘附近。",""
390,"prime","adj.","首要的，最佳的","This is a prime example of modern architecture.","這是現代建築的最佳範例。",""
391,"front-base lobby","n.","前台大廳","The front-base lobby was spacious and welcoming.","前台大廳寬敞且令人感到舒適。",""
392,"drive","n./vt.","車程/車道/駕駛","It's a long drive to the mountains. / Park your car in the drive. / She learned how to drive.","開車去山區的路途很長。 / 把你的車停在車道上。 / 她學會了開車。",""
393,"heritage","n.","遺產，傳統","The city has a rich cultural heritage.","這座城市擁有豐富的文化遺產。",""
394,"eatery","n.","食堂，餐飲店","There are many small eateries near the office building.","辦公大樓附近有很多小餐館。",""
395,"interior","adj.","內部的","The interior design of the house is very modern.","這間房子的內部設計非常現代。",""
396,"wire","n./vt.","電線，金屬絲/接電報","Be careful not to touch the exposed wire. / The news was wired to all major outlets.","小心不要觸摸裸露的電線。 / 這則新聞被電報發送給所有主要媒體。",""
397,"renovate","vt.","翻新，整修","They decided to renovate the old building.","他們決定翻新這棟舊建築。",""
398,"antique","adj.","古董的","She collects antique furniture.","她收藏古董家具。",""
399,"fixture","n.","固定裝置，設備","The bathroom fixtures are all made of chrome. / The factory has new industrial fixtures.","浴室的固定裝置都是鍍鉻的。 / 這間工廠有新的工業設備。",""
400,"cosmopolitan","adj.","國際化的，世界性的","New York City is a very cosmopolitan city.","紐約市是一個非常國際化的都市。",""
401,"hub","n.","樞紐，中心","The airport is a major transportation hub.","這座機場是一個主要的交通樞紐。",""
402,"retail","n.","零售","The retail industry has been affected by online shopping.","零售業受到了網路購物的影響。",""
403,"lease","vt./n.","租賃/租約","We decided to lease the apartment for a year. / The lease agreement specifies the terms of the rental.","我們決定租這間公寓一年。 / 租賃合約詳細說明了租賃條款。",""
404,"celebrate","vt.","慶祝","We will celebrate his birthday next week.","我們下週將慶祝他的生日。",""
405,"property","n.","財產，房地產","The company owns a lot of property in the downtown area.","這間公司在市中心擁有許多房地產。",""
406,"patron","n.","顧客，贊助人","The bookstore has many loyal patrons.","這間書店有很多忠實顧客。",""
407,"accordance","n.","一致，依照","The project was completed in accordance with the agreed-upon terms.","這個專案是按照約定的條款完成的。",""
408,"congressman","n.","美國國會議員","The congressman addressed the crowd at the rally.","這位美國國會議員在集會上向群眾發表演說。",""
409,"acquaint","vt.","使認識，使熟悉","Let me acquaint you with the members of the team.","讓我向您介紹一下團隊成員。",""
410,"merchandise","n.","商品","The store sells a wide range of sports merchandise.","這間商店販售各式各樣的運動商品。",""
411,"theater","n.","劇院","We are going to the theater tonight.","我們今晚要去劇院。",""
412,"booth","n.","小隔間，攤位","There was a photo booth at the party.","派對上有一個照相亭。",""
413,"reservation","n.","預訂","I have a dinner reservation for two at 7 PM.","我預訂了晚上七點兩人份的晚餐。",""
414,"venue","n.","場地","The concert will be held at a large outdoor venue.","這場演唱會將在一個大型戶外場地舉行。",""
415,"violinist","n.","小提琴手","The orchestra hired a talented young violinist.","這支管弦樂團聘請了一位才華洋溢的年輕小提琴手。",""
416,"balcony","n.","陽台，包廂","We had seats on the balcony overlooking the stage.","我們的座位在俯瞰舞台的陽台上。",""
417,"box seat","n.","包廂座位","They watched the performance from a box seat.","他們從包廂裡觀看了表演。",""
418,"stock up","v.","囤積","We need to stock up on groceries before the storm.","我們需要在暴風雨來臨前囤積食物。",""
419,"mild","adj.","溫和的","The weather today is mild and pleasant.","今天的天氣溫和宜人。",""
420,"bitterness","n.","苦澀，怨恨","There was a hint of bitterness in his voice.","他的聲音中帶有一絲苦澀。",""
421,"blend","vt./n.","混合/混合物","Blend the ingredients together in a bowl. / This coffee has a rich blend of flavors.","將所有材料在碗中混合。 / 這款咖啡有著豐富的混合風味。",""
422,"entitle","vt.","使有權利","Your ticket entitles you to a free drink.","您的票讓您有權獲得一杯免費飲料。",""
423,"refund","vt./n.","退款/退款額","The store will refund your money if you return the item. / I received a full refund for the damaged product.","如果您退回商品，商店將退款。 / 我收到了損壞商品的全部退款。",""
424,"renovate","vt.","翻新，整修","They plan to renovate the kitchen next year.","他們計畫明年翻新廚房。",""
425,"receipt","n.","收據","Please keep your receipt for warranty purposes.","請保留您的收據以作為保固憑證。",""
426,"expedite","vt.","加速，加快","We will expedite the shipping of your order.","我們將加快您訂單的運送速度。",""
427,"voucher","n.","禮券，折價券","I used a voucher to get a discount on my purchase.","我用一張折價券購買商品獲得了折扣。",""
428,"inspection","n.","檢查，檢驗","The building failed the safety inspection.","這棟建築未能通過安全檢查。",""
429,"compliance","n.","遵守，合規","The company has strict rules for regulatory compliance.","這間公司有嚴格的法規遵循規定。",""
430,"audit","n./vt.","審計/審查","The company undergoes an annual financial audit. / The tax authorities will audit his records.","公司每年都會進行財務審計。 / 稅務機關將審查他的帳目。",""
431,"enrollment","n.","註冊，登記","The enrollment period for the new semester ends next week.","新學期的註冊期限到下週結束。",""
432,"complication","n.","併發症，糾紛","There was a complication during the surgery. / The deal was delayed due to a legal complication.","手術過程中出現了併發症。 / 由於法律糾紛，這筆交易被延遲了。",""
433,"apron","n.","圍裙","Mary always wears an apron when she bakes cookies.","Mary 烤餅乾的時候總是穿著圍裙。",""
434,"stir-fried","adj.","快炒的","John ordered stir-fried noodles for lunch.","John 午餐點了快炒麵。",""
435,"browse","v.","瀏覽","Alice likes to browse online bookstores for new titles.","Alice 喜歡在線上書店瀏覽新書。",""
436,"shelve","v./n.","擱置；上架；架子","The manager decided to shelve the new product line for now. / Tom helped me put the books on the new shelf.","經理決定暫時擱置新的產品線。 / Tom 幫我把書放到新的架子上。",""
437,"cushion","n.","墊子；緩衝","The sofa has soft cushions that make it very comfortable.","這張沙發有柔軟的墊子，坐起來非常舒適。",""
438,"lift","v./n.","舉起；電梯","Could you help David lift this heavy box? / The lift is temporarily out of service.","你能幫 David 舉起這個重箱子嗎？ / 電梯暫時停止服務。",""
439,"ladder","n.","梯子","Michael used a ladder to clean the gutters.","Michael 用梯子清理水槽。",""
440,"shelf","n.","架子","Lisa put her favorite books on the top shelf.","Lisa 把她最喜歡的書放在最上面的架子上。",""
441,"long-sleeved","adj.","長袖的","Peter prefers to wear long-sleeved shirts even in summer.","Peter 即使在夏天也喜歡穿長袖襯衫。",""
442,"tent","n.","帳篷","They set up a tent in the campground.","他們在露營地搭起了一個帳篷。",""
443,"sauce","n.","醬汁","Emily added some extra tomato sauce to her pasta.","Emily 在她的義大利麵裡加了一些額外的番茄醬。",""
444,"waitress","n.","女服務生","The waitress politely asked for our order.","這位女服務生很有禮貌地詢問我們要點什麼。",""
445,"gloves","n.","手套","Sarah wears warm gloves in the winter.","Sarah 冬天戴著保暖的手套。",""
446,"lost and found","n.","失物招領處","If you can't find your wallet, check the lost and found.","如果你找不到你的錢包，去失物招領處看看。",""
447,"out of order","adj.","故障","The coffee machine in the office is out of order again.","辦公室裡的咖啡機又故障了。",""
448,"handout","n.","講義；傳單","The professor gave the students a handout with the lecture notes. / The volunteer handed out flyers on the street.","教授給學生們一份包含講義筆記的講義。 / 這位志願者在街上發放傳單。",""
449,"outlet","n.","插座；暢貨中心","Please plug the lamp into the nearest outlet. / We found great deals at the designer outlet store.","請將檯燈插到最近的插座上。 / 我們在設計師暢貨店找到了很棒的折扣商品。",""
450,"full-course","adj.","全套的","The restaurant offers a delicious full-course dinner.","這間餐廳提供美味的全套晚餐。",""
451,"relative","n./adj.","親戚；相對的","My relatives live in different states. / The price is relatively high compared to others.","我的親戚住在不同的州。 / 相較於其他的，這個價格相對較高。",""
452,"inclement","adj.","氣候惡劣的","Due to the inclement weather, the outdoor event was canceled.","由於氣候惡劣，戶外活動被取消了。",""
453,"devise","v.","設計；發明","The engineers are trying to devise a more efficient system.","工程師們正試圖設計一個更有效率的系統。",""
454,"splendid","adj.","壯麗的；極好的","The view from the balcony was splendid. / We had a splendid time at the party hosted by Jessica.","從陽台看到的景色非常壯麗。 / 我們在 Jessica 主辦的派對上玩得很開心。",""
455,"count on / upon","v.","依賴；指望","You can always count on your friends for support.","你總是能指望你的朋友們的支持。",""
456,"blow ... away","v.","使...印象深刻；徹底擊敗","The magician's performance blew the audience away. / Our team blew their rivals away in the final game.","魔術師的表演讓觀眾印象深刻。 / 我們的隊伍在決賽中徹底擊敗了他們的對手。",""
457,"liter","n.","公升","Kevin bought a liter of orange juice.","Kevin 買了一公升的柳橙汁。",""
458,"decline","v./n.","下降；拒絕","The company's profits declined sharply last quarter. / She sent a polite decline to the invitation.","公司上季度的利潤大幅下降。 / 她禮貌地回絕了邀請。",""
459,"heritage","n.","遺產；傳統","The museum showcases the rich cultural heritage of the region.","這間博物館展示了該地區豐富的文化遺產。",""
460,"ceremony","n.","典禮；儀式","The graduation ceremony was held in the main hall.","畢業典禮在主禮堂舉行。",""
461,"eagle","n.","老鷹","We spotted a majestic eagle soaring above the mountains.","我們看到一隻雄偉的老鷹在群山上方翱翔。",""
462,"bull","n.","公牛","The farmer kept the bull in a separate pen.","這位農夫把公牛養在一個獨立的欄裡。",""
463,"defensive back","n.","後衛","The defensive back made a crucial interception in the final seconds.","這位後衛在最後幾秒做出了一次關鍵的攔截。",""
464,"blizzard","n.","暴風雪","The blizzard made driving conditions very dangerous.","暴風雪使得駕駛狀況非常危險。",""
465,"halfway","adv./adj.","中途地；一半地","They stopped halfway through their hike to rest. / The project is halfway to completion.","他們在徒步旅行的中途停下來休息。 / 這個專案完成了一半。",""
466,"fiercely","adv.","猛烈地；激烈地","The storm raged fiercely throughout the night. / The two teams competed fiercely for the championship.","暴風雨整夜猛烈地肆虐。 / 這兩支隊伍為了冠軍激烈地競爭。",""
467,"clog","v./n.","阻塞；障礙物","Hair can often clog the bathroom drain. / There was a clog in the pipe.","頭髮經常會阻塞浴室的排水管。 / 管道裡有阻塞物。",""
468,"cleat","n.","鞋釘；防滑釘","The soccer players wore cleats for better traction on the field.","足球員穿著有鞋釘的鞋子，以便在場地上有更好的抓地力。",""
469,"magnificently","adv.","壯麗地；極好地","The fireworks display was magnificently colorful. / She played the piano magnificently.","煙火表演絢麗多彩。 / 她鋼琴彈得極好。",""
470,"cotton","n.","棉花","This t-shirt is made of 100% cotton.","這件 T 恤是百分之百純棉的。",""
471,"cashmere","n.","羊絨","She received a soft cashmere scarf as a gift.","她收到了一條柔軟的羊絨圍巾作為禮物。",""
472,"fabric","n.","布料；織物","The curtains are made of a heavy velvet fabric.","這些窗簾是用厚重的絲絨布料製成的。",""
473,"decent","adj.","體面的；還不錯的","William earns a decent salary at his new job. / We had a decent meal at the local diner.","William 在他的新工作中賺著一份還不錯的薪水。 / 我們在當地的小餐館吃了一頓還不錯的飯。",""
474,"bargain","n./v.","便宜貨；討價還價","I found a real bargain on this leather jacket. / They tried to bargain for a lower price at the market.","我在這件皮夾克上撿到便宜貨。 / 他們試圖在市場上討價還價以獲得更低的價格。",""
